Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Dec 3 2008,7:00 PM,Phoenix Suns,91,New Orleans Hornets,104,Box Score,,
Wed Dec 3 2008,7:00 PM,Minnesota Timberwolves,89,Orlando Magic,100,Box Score,,
Wed Dec 3 2008,7:00 PM,Los Angeles Lakers,114,Philadelphia 76ers,102,Box Score,,
Wed Dec 3 2008,7:00 PM,Miami Heat,93,Utah Jazz,89,Box Score,,
Wed Dec 3 2008,7:00 PM,Portland Trail Blazers,98,Washington Wizards,92,Box Score,,
Thu Dec 4 2008,7:00 PM,Phoenix Suns,97,Dallas Mavericks,112,Box Score,,
Thu Dec 4 2008,8:30 PM,San Antonio Spurs,108,Denver Nuggets,91,Box Score,,
Fri Dec 5 2008,7:30 PM,New York Knicks,95,Atlanta Hawks,98,Box Score,,
Fri Dec 5 2008,8:00 PM,Portland Trail Blazers,78,Boston Celtics,93,Box Score,,
Fri Dec 5 2008,7:30 PM,Indiana Pacers,73,Cleveland Cavaliers,97,Box Score,,
